antecedentes,consequentes,support,confidence,lift
"REGATA, BLUSA",SHORT,0.008415147265077139,0.6885245901639344,5.327792603888677
"SHORT, BERMUDA",CAMISA,0.008014425966740133,0.634920634920635,4.533460499125736
"CONJUNTO, BERMUDA",CAMISA,0.008014425966740133,0.634920634920635,4.533460499125736
"BERMUDA, CUECA",CAMISA,0.007814065317571629,0.5909090909090909,4.219209259981793
"CALCINHA, REGATA",SHORT,0.011420557002604689,0.5816326530612245,4.500664451827243
BERMUDA,CAMISA,0.03606491685033059,0.5232558139534883,3.7361513125062378
